date,co_level
1995-05-07,0.62441965000000033
1995-05-14,0.59237904627766635
1995-05-16,0.81110462626262669
1995-05-18,0.797754979757085
1995-05-21,0.67257892827868826
1995-05-25,0.73505243863179082
1995-05-27,0.64465821659919009
1995-05-28,0.54447644016227148
1995-06-03,0.674886137931034
1995-06-04,0.63563940408163289
1995-06-06,0.73365392105263216
1995-06-07,0.6911652975708501
1995-06-09,0.74856103427419285
1995-06-11,0.60706814634146355
1995-06-16,0.77318404242424255
1995-06-22,0.80510587525150867
1995-06-30,0.79041675049900151
1995-07-01,0.67730375745526838
1995-07-03,0.67745901996007973
1995-07-04,0.5754466599597583
1995-07-07,0.78557789285714263
1995-07-09,0.62596100598802451
1995-07-10,0.79667653999999977
1995-07-14,0.82301611313131329
1995-07-16,0.63226475983436869
